"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"EMAIL";"EMAIL2";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"SEGREGADA";"EDUC. DIFERENCIADA";"Total 2017-2018";"Total 2018-2019";"Total 2019-2020";"Total 2020-2021";"Total 2021-2022";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Educación Infantil Especial 2019-2020";"Educación Infantil Especial 2020-2021";"Educación Infantil Especial 2021-2022";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil I Ciclo 2019-2020";"Infantil I Ciclo 2020-2021";"Infantil I Ciclo 2021-2022";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Infantil II Ciclo 2019-2020";"Infantil II Ciclo 2020-2021";"Infantil II Ciclo 2021-2022";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Educación Básica Obligatoria 2019-2020";"Educación Básica Obligatoria 2020-2021";"Educación Básica Obligatoria 2021-2022";"Primaria 2017-2018";"Primaria 2018-2019";"Primaria 2019-2020";"Primaria 2020-2021";"Primaria 2021-2022";"ESO 2017-2018";"ESO 2018-2019";"ESO 2019-2020";"ESO 2020-2021";"ESO 2021-2022";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"Bachillerato 2019-2020";"Bachillerato 2020-2021";"Bachillerato 2021-2022";"FP GM 2017-2018";"FP GM 2018-2019";"FP GM 2019-2020";"FP GM 2020-2021";"FP GM 2021-2022";"FP GS 2017-2018";"FP GS 2018-2019";"FP GS 2019-2020";"FP GS 2020-2021";"FP GS 2021-2022";"FPB 2017-2018";"FPB 2018-2019";"FPB 2019-2020";"FPB 2020-2021";"FPB 2021-2022";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Módulos Voluntarios 2019-2020";"PCPI: Módulos Voluntarios 2020-2021";"PCPI: Módulos Voluntarios 2021-2022";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"PCPI: Especial 2019-2020";"PCPI: Especial 2020-2021";"PCPI: Especial 2021-2022";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programa Formación Transición Vida Adulta 2019-2020";"Programa Formación Transición Vida Adulta 2020-2021";"Programa Formación Transición Vida Adulta 2021-2022";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"Programas Profesionales Modalidad Especial 2019-2020";"Programas Profesionales Modalidad Especial 2020-2021";"Programas Profesionales Modalidad Especial 2021-2022";"lat";"lng";"Programas Profesionales Modalidad General 2019-2020";"Programas Profesionales Modalidad General 2020-2021";"Programas Profesionales Modalidad General 2021-2022"
"Madrid-Este";"28067343";"CPR INF-PRI-SEC";"GSD ALCALA";"Calle Octavio Paz, 29 ";"Alcalá de Henares";"-";"28806";"918303864";"918303871";"cc.gredossandiego.alcala@educa.madrid.org";"alcala@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067343";"cc.gredossandiego.alcala@educa.madrid.org";"EDUCACION ACTIVA COMPLUTENSE, SOCIEDAD COOPERATIVA MADRILEÑA";"NO";"";"1630";"1563";"1610";"1655";"1652";"";"";"";"";"";"34";"39";"0";"0";"0";"305";"330";"347";"329";"303";"";"";"";"";"";"705";"718";"695";"694";"715";"464";"476";"495";"475";"483";"122";"0";"73";"157";"151";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5034242";"-3.3639562";"";"";""
"Madrid-Oeste";"28061286";"CPR INF-PRI-SEC";"GSD EL ESCORIAL";"Calle Principal, 1 ";"Escorial, El";"-";"28292";"918533521";"918534907";"cc.gredossd.elescorial@educa.madrid.org";"elescorial@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28061286";"cc.gredossd.elescorial@educa.madrid.org";"GREDOS SAN DIEGO, SDAD. COOP. MADRILEÑA";"NO";"";"1514";"1408";"1223";"1150";"1112";"";"";"";"";"";"80";"84";"0";"0";"0";"246";"227";"231";"189";"186";"";"";"";"";"";"620";"627";"597";"572";"542";"437";"470";"395";"389";"384";"131";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5858304";"-4.0463141";"";"";""
"Madrid-Oeste";"28069303";"CPR INF-PRI-SEC";"GSD GUADARRAMA";"Calle Vereda De Colmenar, 4 ";"Guadarrama";"-";"28440";"918547059";"918542399";"cc.gredossandiego.guadarrama@educa.madrid.org";"guadarrama@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069303";"cc.gredossandiego.guadarrama@educa.madrid.org";"GREDOS SAN DIEGO SOCIEDAD COOPERATIVA MADRILEÑA";"NO";"";"1706";"1570";"1377";"1363";"1316";"";"";"";"";"";"80";"77";"0";"0";"0";"242";"254";"244";"219";"198";"";"";"";"";"";"643";"636";"611";"597";"562";"396";"439";"476";"449";"466";"115";"0";"0";"0";"0";"133";"75";"46";"98";"90";"97";"89";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6733212";"-4.091648699999999";"";"";""
"Madrid-Oeste";"28067355";"CPR INF-PRI-SEC";"GSD LAS ROZAS";"Calle Clara Campoamor, 1 ";"Rozas de Madrid, Las";"-";"28232";"916408923";"916376382";"cc.gredossd.lasrozas@educa.madrid.org";"lasrozas@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067355";"cc.gredossd.lasrozas@educa.madrid.org";"GREDOS SOCIEDAD COOPERATIVA MADRILEÑA";"NO";"";"2125";"1957";"1826";"1824";"1777";"";"";"";"";"";"131";"134";"0";"0";"0";"409";"401";"407";"393";"376";"";"";"";"";"";"831";"828";"830";"824";"810";"554";"577";"589";"607";"591";"168";"0";"0";"0";"0";"";"";"";"";"";"32";"17";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5027893";"-3.8813603";"";"";""
"Madrid-Capital";"28067331";"CPR INF-PRI-SEC";"GSD LAS SUERTES";"Calle De Rafael De León, 10 ";"Madrid";"Villa de Vallecas";"28051";"913853505";"913853404";"cc.gsdlassuertes.madrid@educa.madrid.org";"lassuertes@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067331";"cc.gsdlassuertes.madrid@educa.madrid.org";"GREDOS SAN DIEGO, SOCIEDAD COOPERATIVA MADRILEÑA";"NO";"";"2359";"2397";"1855";"1933";"1836";"";"";"";"";"";"152";"151";"0";"0";"0";"439";"442";"413";"408";"411";"";"";"";"";"";"775";"800";"820";"840";"837";"533";"538";"506";"479";"480";"111";"0";"0";"0";"0";"188";"114";"116";"206";"108";"161";"352";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3664224";"-3.600769";"";"";""
"Madrid-Capital";"28056886";"CPR INF-PRI-SEC";"GSD MORATALAZ";"Calle De Luis De Hoyos Sáinz, 170 ";"Madrid";"Moratalaz";"28030";"917723811";"917723121";"cc.gsandiegomoratalaz.madrid@educa.madrid.org";"moratalaz@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056886";"cc.gsandiegomoratalaz.madrid@educa.madrid.org";"GREDOS SAN DIEGO, SDAD. COOP. MADRILEÑA";"NO";"";"1932";"1741";"1572";"1561";"1251";"";"";"";"";"";"145";"140";"0";"0";"0";"333";"336";"332";"328";"0";"";"";"";"";"";"752";"739";"717";"691";"687";"514";"526";"523";"542";"564";"188";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4035467";"-3.6283771";"";"";""
"Madrid-Capital";"28045566";"CPR INF-PRI-SEC";"GSD VALLECAS";"Avenida Del Parque De Palomeras Bajas, 14 ";"Madrid";"Puente de Vallecas";"28018";"917853412";"-";"cc.gredossandiego.madrid@educa.madrid.org";"vallecas@gsdeducacion.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28045566";"cc.gredossandiego.madrid@educa.madrid.org";"GREDOS-SAN DIEGO, SDAD. COOP. MADRILEÑA";"NO";"";"2084";"1899";"1710";"1680";"1654";"";"";"";"";"";"133";"147";"0";"0";"0";"388";"388";"373";"372";"374";"";"";"";"";"";"795";"788";"782";"755";"739";"583";"576";"555";"553";"541";"185";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.38002729999999";"-3.663094699999999";"";"";""
"Madrid-Sur";"28063192";"CPR INF-PRI-SEC";"HELICON";"Calle De María Curie, 19-21 ";"Valdemoro";"-";"28342";"918752232";"918753548";"cc.helicon.valdemoro@educa.madrid.org";"direccion@colegiohelicon.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063192";"cc.helicon.valdemoro@educa.madrid.org";"SDAD. COOP. MADRILEÑA HELICON";"NO";"";"1440";"1403";"1286";"1304";"1238";"";"";"";"";"";"60";"78";"0";"0";"0";"300";"295";"264";"235";"186";"";"";"";"";"";"615";"635";"633";"620";"626";"379";"395";"389";"397";"426";"86";"0";"0";"52";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.1974633";"-3.6885996";"";"";""
"Madrid-Oeste";"28023844";"CPR INF-PRI-SEC";"HOGAR DEL BUEN CONSEJO";"Paseo Concepción, 12 ";"Pozuelo de Alarcón";"-";"28224";"913520181";"917157926";"cc.hbconsejo.pozuelodealarcon@educa.madrid.org";"hbconsejopa@planalfa.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28023844";"cc.hbconsejo.pozuelodealarcon@educa.madrid.org";"FRANCISCANAS DE NTRA. SRA. DEL BUEN CONSEJO";"NO";"";"251";"207";"211";"195";"208";"";"";"";"";"";"";"";"";"";"";"33";"30";"33";"31";"28";"";"";"";"";"";"116";"106";"102";"93";"85";"102";"71";"76";"71";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4506001";"-3.803730399999999";"";"";""
"Madrid-Este";"28073161";"CPR INF-PRI-SEC";"HUMANITAS BILINGUAL SCHOOL TORREJON";"Avenida Salvador Dalí, 3 ";"Torrejón de Ardoz";"-";"28850";"910001908";"912796718";"cc.humanitas.torrejondeardoz@educa.madrid.org";"direccion@humanitastorrejon.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28073161";"cc.humanitas.torrejondeardoz@educa.madrid.org";"PROY.EDUC.SOTO HENARES,S.A., HUMANITAS BIL.SCH.TORREJON, S.L";"NO";"";"1461";"1495";"1471";"1526";"1588";"";"";"";"";"";"60";"57";"0";"0";"0";"416";"401";"384";"374";"362";"";"";"";"";"";"697";"759";"780";"803";"836";"242";"278";"307";"349";"390";"46";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4545685";"-3.4429328";"";"";""
"Madrid-Norte";"28072961";"CPR INF-PRI-SEC";"HUMANITAS BILINGUAL SCHOOL TRES CANTOS";"Avenida De Los Actores, 1-5 ";"Tres Cantos";"-";"28760";"902702048";"910008428";"cc.humanitas.trescantos@educa.madrid.org";"info@humanitastrescantos.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072961";"cc.humanitas.trescantos@educa.madrid.org";"PROY. ED. SIERRA NORTE S.A./ HUMANITAS BILINGUAL SCHOOL S.L.";"NO";"";"1275";"1145";"1116";"1107";"1148";"";"";"";"";"";"55";"48";"0";"0";"0";"270";"257";"271";"247";"246";"";"";"";"";"";"487";"530";"538";"538";"574";"338";"310";"307";"322";"328";"125";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6162265";"-3.716459299999999";"";"";""
"Madrid-Capital";"28015987";"CPR INF-PRI-SEC";"INMACULADA CONCEPCION";"Calle Del General Díaz Porlier, 25 ";"Madrid";"Salamanca";"28001";"914314420";"915782732";"cc.inmaculadaconcepcion.madrid@educa.madrid.org";"secretaria@colegioinmaculadaconcepcion.org";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28015987";"cc.inmaculadaconcepcion.madrid@educa.madrid.org";"CONGREGACION DE RELIGIOSAS AGUSTINAS MISIONERAS";"NO";"";"1087";"1004";"940";"917";"912";"";"";"";"";"";"33";"22";"0";"0";"0";"227";"217";"200";"189";"175";"";"";"";"";"";"452";"464";"450";"446";"424";"288";"301";"290";"282";"313";"87";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.42686270000001";"-3.677258799999999";"";"";""
"Madrid-Capital";"28022475";"CPR INF-PRI-SEC";"INSTITUCION PROFESIONAL SALESIANA";"Ronda De Don Bosco, 3 ";"Madrid";"Carabanchel";"28044";"915087640";"915086152";"cc.salesianoscarabanchel.madrid@educa.madrid.org";"secretaria@salesianoscarabanchel.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28022475";"cc.salesianoscarabanchel.madrid@educa.madrid.org";"INSTITUCION SALESIANA";"NO";"";"1575";"1442";"1252";"1394";"1193";"";"";"";"";"";"";"";"";"";"";"243";"239";"230";"225";"196";"";"";"";"";"";"474";"479";"474";"468";"457";"374";"383";"362";"354";"347";"125";"119";"0";"134";"126";"84";"82";"53";"84";"0";"139";"0";"0";"0";"0";"136";"140";"133";"129";"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3744792";"-3.7519997";"";"";""
"Madrid-Oeste";"28023935";"CPR INF-PRI-SEC";"INSTITUTO VERITAS";"Avenida Radio Y Televisión, 2 ";"Pozuelo de Alarcón";"-";"28223";"913520547";"-";"cc.veritas.pozuelodealarcon@educa.madrid.org";"colegio@iveritas.org";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28023935";"cc.veritas.pozuelodealarcon@educa.madrid.org";"ASOCIACION CIVIL INSTITUCION TERESIANA";"NO";"";"1299";"1102";"1080";"1040";"993";"";"";"";"";"";"0";"14";"0";"0";"0";"222";"210";"194";"171";"162";"";"";"";"";"";"505";"494";"490";"482";"475";"393";"384";"396";"387";"356";"179";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4153774";"-3.7918933";"";"";""
"Madrid-Este";"28023376";"CPR INF-PRI-SEC";"INTERNACIONAL EUROVILLAS";"Calle Posada De Castilla I, 107 ";"Nuevo Baztán";"-";"28514";"918735282";"918734123";"cc.internacionaleurovillas.nuevobaztan@educa.madrid.org";"secretaria@colegiointernacionaleurovillas.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28023376";"cc.internacionaleurovillas.nuevobaztan@educa.madrid.org";"COLEGIO INTERNACIONAL EUROVILLAS S.L.";"NO";"";"587";"643";"618";"641";"663";"";"";"";"";"";"";"";"";"";"";"125";"132";"122";"121";"124";"";"";"";"";"";"294";"304";"296";"282";"296";"168";"207";"200";"208";"214";"0";"0";"0";"30";"29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3538258";"-3.2721922";"";"";""
"Madrid-Este";"28024991";"CPR INF-PRI-SEC";"J.A.B.Y.";"Calle Cristo, 22 ";"Torrejón de Ardoz";"-";"28850";"916750360";"916779310";"cc.jaby.torrejondeardoz@educa.madrid.org";"direccion@colegiojaby.com";" secretaria@colegiojaby.com";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28024991";"cc.jaby.torrejondeardoz@educa.madrid.org";"COLEGIO JABY, S.L.";"NO";"";"626";"655";"657";"662";"666";"";"";"";"";"";"";"";"";"";"";"141";"159";"155";"147";"144";"";"";"";"";"";"241";"271";"294";"298";"302";"222";"225";"208";"217";"220";"22";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.456729";"-3.4797008";"";"";""
"Madrid-Capital";"28007607";"CPR INF-PRI-SEC";"JESUS MAESTRO";"Calle De Juan Vigón, 8 ";"Madrid";"Chamberí";"28003";"915530807";"915346613";"cc.jesusmaestro.madrid@educa.madrid.org";"infosecretaria@jesusmaestro.escuelateresiana.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28007607";"cc.jesusmaestro.madrid@educa.madrid.org";"FUNDACION ESCUELA TERESIANA";"NO";"";"1196";"1094";"0";"1026";"1036";"";"";"";"";"";"62";"64";"0";"0";"0";"225";"243";"0";"240";"251";"";"";"";"";"";"462";"462";"0";"458";"464";"321";"325";"0";"328";"321";"126";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4410184";"-3.7119788";"";"";""
"Madrid-Capital";"28012354";"CPR INF-PRI-SEC";"JESUS MARIA";"Calle De Juan Bravo, 13 ";"Madrid";"Salamanca";"28006";"914319520";"915781696";"cc.jesusmaria.madrid@educa.madrid.org";"d.general.juanbravo@jesus-maria.net";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28012354";"cc.jesusmaria.madrid@educa.madrid.org";"RELIGIOSAS DE JESUS MARIA";"NO";"";"1215";"1101";"1013";"1131";"984";"";"";"";"";"";"40";"40";"0";"0";"0";"242";"239";"231";"223";"220";"";"";"";"";"";"485";"462";"448";"449";"437";"335";"323";"324";"322";"290";"94";"0";"0";"95";"0";"";"";"";"";"";"19";"37";"10";"42";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4331598";"-3.6825598";"";"";""
"Madrid-Sur";"28003110";"CPR INF-PRI-SEC";"JESUS NAZARENO";"Calle Del Hospital De San José, 28 ";"Getafe";"-";"28901";"916950321";"916962414";"cc.jesusnazareno.getafe@educa.madrid.org";"jnazareno@colegiojesusnazareno.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28003110";"cc.jesusnazareno.getafe@educa.madrid.org";"HNAS. HOSPITALARIAS DE JESUS NAZARENO";"NO";"";"941";"949";"912";"917";"905";"";"";"";"";"";"";"";"";"";"";"154";"152";"150";"147";"147";"";"";"";"";"";"339";"331";"324";"314";"308";"253";"259";"235";"249";"243";"195";"207";"203";"207";"207";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3055387";"-3.7283165";"";"";""
"Madrid-Capital";"28036474";"CPR INF-PRI-SEC";"JUAN DE VALDES";"Avenida De Canillejas A Vicálvaro, 135 ";"Madrid";"San Blas-Canillejas";"28022";"913069750";"913130262";"cc.juanvaldes.madrid@educa.madrid.org";"juandevaldes@fliedner.org";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036474";"cc.juanvaldes.madrid@educa.madrid.org";"FUNDACIÓN FEDERICO FLIEDNER";"NO";"";"1320";"1339";"1186";"1126";"1076";"";"";"";"";"";"88";"89";"0";"0";"0";"271";"274";"263";"240";"225";"";"";"";"";"";"528";"553";"527";"503";"495";"433";"423";"396";"383";"356";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4263542";"-3.6101085";"";"";""
"Madrid-Norte";"28000662";"CPR INF-PRI-SEC";"JUAN XXIII";"Travesia Juan M. Sánchez. Pedagogo, 3 ";"Alcobendas";"-";"28100";"916516468";"916516468";"cc.juanxxiii.alcobendas@educa.madrid.org";"direccion@juanxxiiialcobendas.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000662";"cc.juanxxiii.alcobendas@educa.madrid.org";"EDUCACHACON, S.L.";"NO";"";"374";"384";"367";"343";"327";"";"";"";"";"";"";"";"";"";"";"64";"62";"58";"46";"43";"";"";"";"";"";"149";"148";"145";"139";"139";"161";"174";"164";"158";"145";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.541796";"-3.6366399";"";"";""
"Madrid-Sur";"28003584";"CPR INF-PRI-SEC";"LA INMACULADA";"Avenida Vicente Aleixandre, 1 ";"Leganés";"-";"28911";"916930057";"-";"cc.lainmaculada.leganes@educa.madrid.org";"lainmaculadaleganes@planalfa.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28003584";"cc.lainmaculada.leganes@educa.madrid.org";"HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL";"NO";"";"355";"361";"50";"351";"341";"";"";"";"";"";"";"";"";"";"";"84";"81";"50";"75";"75";"";"";"";"";"";"166";"166";"0";"161";"157";"105";"114";"0";"115";"109";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3274329";"-3.7677069";"";"";""
"Madrid-Capital";"28021902";"CPR INF-PRI-SEC";"LA INMACULADA";"Calle De Navalperal, 9 ";"Madrid";"Moncloa-Aravaca";"28035";"914500608";"914597867";"cc.lainmaculada-moncloa.madrid@educa.madrid.org";"inmaculadame@planalfa.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28021902";"cc.lainmaculada-moncloa.madrid@educa.madrid.org";"FUNDACION ESCOLAPIAS MONTAL";"NO";"";"740";"654";"595";"592";"578";"";"";"";"";"";"";"";"";"";"";"125";"115";"100";"92";"94";"";"";"";"";"";"330";"318";"288";"276";"261";"220";"221";"207";"224";"223";"65";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4611752";"-3.7264531";"";"";""
"Madrid-Capital";"28019270";"CPR INF-PRI-SEC";"LA INMACULADA";"Avenida De La Virgen Del Carmen, 13 ";"Madrid";"Hortaleza";"28033";"917634509";"917644191";"cc.lainmaculada.madrid@educa.madrid.org";"hortaleza@concepcionistas.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28019270";"cc.lainmaculada.madrid@educa.madrid.org";"CONCEPCIONISTAS MISIONERAS DE LA ENSEÑANZA";"NO";"";"1078";"1028";"978";"986";"970";"";"";"";"";"";"13";"7";"0";"0";"0";"197";"209";"202";"207";"186";"";"";"";"";"";"458";"477";"456";"444";"449";"306";"335";"320";"335";"335";"104";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4741647";"-3.6541254";"";"";""
"Madrid-Sur";"28001022";"CPR INF-PRI-SEC";"LA INMACULADA";"Calle Señorita Elena, S/n ";"Alcorcón";"-";"28924";"916192515";"916113356";"cc.lainmaculada.alcorcon@educa.madrid.org";"lainmaculadaalc@planalfa.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28001022";"cc.lainmaculada.alcorcon@educa.madrid.org";"MISIONERAS SECULARES DE JESUS OBRERO";"NO";"";"1085";"1094";"1063";"931";"941";"";"";"";"";"";"";"";"";"";"";"159";"154";"158";"132";"120";"";"";"";"";"";"424";"433";"428";"394";"397";"372";"368";"338";"304";"317";"130";"139";"139";"101";"107";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3505772";"-3.8116616";"";"";""
"Madrid-Oeste";"28024381";"CPR INF-PRI-SEC";"LA INMACULADA CONCEPCION";"Calle Madre Carmen Salles, 8 ";"San Lorenzo de El Escorial";"-";"28200";"918901855";"918903441";"cc.inmaculadaconcepcion.sanlorenzo@educa.madrid.org";"secretmll@hotmail.com";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28024381";"cc.inmaculadaconcepcion.sanlorenzo@educa.madrid.org";"MM.CONCEPCIONISTAS MISIONERAS DE LA ENSEÑANZA";"NO";"";"1171";"1066";"1029";"1047";"1040";"";"";"";"";"";"";"";"";"";"";"205";"199";"209";"211";"203";"";"";"";"";"";"488";"499";"476";"472";"464";"372";"368";"344";"364";"373";"106";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.59335";"-4.14197";"";"";""
"Madrid-Capital";"28012196";"CPR INF-PRI-SEC";"LA INMACULADA-MARILLAC";"Calle De García De Paredes, 37 ";"Madrid";"Chamberí";"28010";"914453534";"915912834";"cc.marillac.madrid@educa.madrid.org";"secretinmarilla@telefonica.es";"Privado Concertado";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28012196";"cc.marillac.madrid@educa.madrid.org";"HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL";"NO";"";"920";"867";"844";"857";"837";"";"";"";"";"";"20";"19";"0";"0";"0";"66";"70";"66";"68";"71";"";"";"";"";"";"163";"170";"159";"155";"154";"228";"215";"227";"229";"217";"395";"342";"392";"405";"395";"";"";"";"";"";"48";"51";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4368387";"-3.6972714";"";"";""
